,group,prod
261,control,3.44
168,intervention,3.26
498,control,4.26
447,control,4.53
64,intervention,5.92
93,intervention,3.5
345,control,4.69
226,intervention,4.89
368,control,3.66
479,control,2.41
500,control,3.11
305,control,3.98
424,control,3.4
410,control,4.75
177,intervention,5.66
51,intervention,3.46
110,intervention,5.33
164,intervention,4.38
291,control,4.55
29,intervention,2.84
173,intervention,6.07
201,intervention,2.97
38,intervention,3.12
171,intervention,4.54
67,intervention,4.18
167,intervention,4.52
362,control,3.68
456,control,5.83
232,intervention,3.31
134,intervention,2.56
271,control,4.46
121,intervention,4.19
439,control,3.68
104,intervention,2.94
445,control,6.33
361,control,4.03
340,control,3.83
36,intervention,5.09
37,intervention,4.04
170,intervention,4.53
390,control,3.25
416,control,3.83
459,control,3.57
27,intervention,5.54
270,control,3.79
76,intervention,2.44
241,intervention,3.79
434,control,4.77
289,control,3.94
285,control,3.74
251,control,4.4
105,intervention,3.6
91,intervention,6.14
492,control,3.68
132,intervention,5.18
441,control,4.21
148,intervention,4.08
487,control,3.43
286,control,3.6
440,control,3.55
460,control,4.18
276,control,4.65
6,intervention,5.44
399,control,3.17
165,intervention,3.9
265,control,4.93
339,control,3.35
137,intervention,5.6
262,control,4.58
123,intervention,4.57
1,intervention,3.94
39,intervention,5.06
465,control,3.23
451,control,2.19
46,intervention,5.17
217,intervention,2.63
147,intervention,4.34
205,intervention,4.47
21,intervention,4.32
60,intervention,4.44
40,intervention,5.81
85,intervention,3.91
68,intervention,7.35
476,control,3.26
5,intervention,5.94
357,control,4.74
186,intervention,4.42
253,control,5.01
478,control,3.21
298,control,3.65
379,control,2.52
9,intervention,5.05
244,intervention,4.34
290,control,4.27
182,intervention,4.99
30,intervention,2.49
203,intervention,2.87
384,control,3.3
472,control,5.46
215,intervention,4.11
341,control,3.25
280,control,3.61
433,control,6.25
197,intervention,2.4
484,control,2.66
263,control,4.14
464,control,1.54
489,control,6.3
72,intervention,3.85
234,intervention,1.96
224,intervention,4.35
374,control,2.93
98,intervention,4.27
338,control,5.22
313,control,4.38
308,control,5.15
429,control,3.42
57,intervention,5.36
273,control,2
387,control,5.98
272,control,4.63
329,control,3.79
71,intervention,3.6
151,intervention,4.06
335,control,3.14
438,control,2.72
343,control,4.19
223,intervention,6.38
385,control,3.03
113,intervention,4.94
381,control,4.38
365,control,6.4
7,intervention,4.5
405,control,2.39
158,intervention,5.74
235,intervention,3.87
125,intervention,5.24
372,control,4.59
310,control,3.85
126,intervention,3.17
436,control,5.04
92,intervention,5.95
300,control,4.44
35,intervention,5.25
250,intervention,3.75
463,control,5.48
237,intervention,4.24
54,intervention,2.92
268,control,3.83
471,control,4.17
455,control,3.19
426,control,4.85
66,intervention,4.3
412,control,3.79
418,control,4.65
106,intervention,4.87
11,intervention,5.22
353,control,3.7
23,intervention,5.42
259,control,4.16
61,intervention,6.02
482,control,3.97
180,intervention,4.99
69,intervention,3.37
238,intervention,4.52
483,control,4.49
323,control,3.32
84,intervention,5.37
136,intervention,3.78
432,control,4.86
366,control,4.16
306,control,2.74
19,intervention,4.84
56,intervention,3.86
243,intervention,3.74
406,control,4.65
149,intervention,3.92
350,control,3.5
218,intervention,5.19
423,control,2.18
408,control,4.38
211,intervention,5.29
284,control,4.06
50,intervention,3.97
281,control,4.94
473,control,4.77
24,intervention,4.17
414,control,3.84
307,control,5.77
103,intervention,2.2
411,control,6.51
376,control,3.71
395,control,3.87
461,control,5.5
156,intervention,1.73
242,intervention,2.94
425,control,3.62
183,intervention,3.33
114,intervention,5.43
274,control,4.42
146,intervention,3.79
409,control,4.16
32,intervention,3.89
112,intervention,4.77
207,intervention,5.06
407,control,2.28
184,intervention,4.01
52,intervention,2.87
124,intervention,4.35
470,control,4.58
178,intervention,3.13
135,intervention,2.99
195,intervention,4.09
225,intervention,4.94
382,control,2.72
322,control,4.23
497,control,2.62
245,intervention,3.71
452,control,3.97
302,control,4.23
49,intervention,4.72
430,control,3.5
128,intervention,5.76
22,intervention,5.83
230,intervention,4.17
254,control,4.88
401,control,4.63
20,intervention,2.93
294,control,3.08
109,intervention,4.75
282,control,3.22
278,control,1.93
120,intervention,3.69
481,control,6.17
118,intervention,3.81
297,control,3.55
208,intervention,2.91
155,intervention,4.89
97,intervention,5.17
444,control,4.22
435,control,4.18
12,intervention,4.04
417,control,3.98
15,intervention,5.83
488,control,3.74
458,control,4.48
279,control,4.69
190,intervention,5.6
301,control,4.3
396,control,1.93
324,control,4.12
296,control,2.53
485,control,6.37
96,intervention,4.8
8,intervention,4.47
90,intervention,5.16
359,control,4.02
194,intervention,5.03
394,control,4.95
138,intervention,5.05
25,intervention,2.99
380,control,5.08
172,intervention,3.37
443,control,5.09
337,control,4.19
122,intervention,5.15
413,control,0.7
157,intervention,4.93
493,control,5.73
480,control,4.53
475,control,2.91
42,intervention,4.08
330,control,4.39
185,intervention,4.35
73,intervention,2.54
65,intervention,5.21
419,control,3.46
119,intervention,4.33
400,control,3.21
468,control,3.77
77,intervention,3.88
209,intervention,5.48
317,control,4.18
28,intervention,3.17
275,control,3.69
79,intervention,4.19
415,control,3.44
44,intervention,4.41
325,control,5.13
14,intervention,4.19
316,control,3.25
320,control,2.91
342,control,2.58
249,intervention,5.31
277,control,4.52
18,intervention,4.03
491,control,2.99
431,control,5.38
248,intervention,4.14
363,control,5.5
354,control,3.95
189,intervention,4.75
377,control,4.24
319,control,2.41
2,intervention,3.86
499,control,3.62
312,control,3.73
163,intervention,4.39
364,control,4.07
196,intervention,4.55
448,control,3.83
131,intervention,5.14
331,control,4.96
367,control,3.12
141,intervention,5.74
70,intervention,3.99
428,control,4.76
181,intervention,3.24
328,control,3.27
421,control,3.93
166,intervention,4.08
427,control,4.48
221,intervention,2.26
216,intervention,3.26
398,control,3.42
252,control,4.22
351,control,3.8
228,intervention,2.67
162,intervention,4.3
450,control,3.45
474,control,5.59
389,control,4.06
191,intervention,3.79
206,intervention,4.08
143,intervention,1.7
161,intervention,2.92
13,intervention,3.57
233,intervention,5.14
336,control,4.1
17,intervention,5.69
100,intervention,5.65
188,intervention,5.09
318,control,4.15
267,control,2.98
442,control,4.07
375,control,3.08
41,intervention,4.72
130,intervention,3.13
360,control,2.77
53,intervention,3.76
58,intervention,3.63
154,intervention,5.49
264,control,4.77
397,control,5.01
160,intervention,3.31
255,control,1.09
453,control,4.11
486,control,4.04
344,control,4.81
239,intervention,3.42
466,control,3.88
227,intervention,3.68
88,intervention,3.2
62,intervention,4.4
140,intervention,4.12
133,intervention,5.08
220,intervention,6.46
59,intervention,4.47
371,control,4.76
437,control,3.22
204,intervention,5.18
462,control,3.99
457,control,2.86
192,intervention,3.72
175,intervention,5.29
107,intervention,3.32
388,control,5.15
309,control,3.76
4,intervention,5.51
229,intervention,3.65
257,control,3.86
422,control,3.22
490,control,3.65
63,intervention,6.19
333,control,4.09
247,intervention,4.93
102,intervention,4.92
349,control,3.71
198,intervention,5.79
111,intervention,3.95
311,control,6.03
202,intervention,4.79
145,intervention,3.98
327,control,6.29
358,control,4.38
256,control,4.22
83,intervention,4.89
404,control,4.05
48,intervention,4.1
246,intervention,3.57
213,intervention,3.67
454,control,4.41
293,control,3.86
299,control,3.4
81,intervention,3.64
469,control,4.1
332,control,5.4
321,control,4.69
82,intervention,5.12
75,intervention,4.37
355,control,3.63
347,control,3.16
199,intervention,4.77
144,intervention,3.68
43,intervention,5.46
477,control,4.66
449,control,3.03
283,control,4.5
495,control,2.92
187,intervention,4.41
231,intervention,3.11
269,control,4.66
129,intervention,4.21
101,intervention,2.87
383,control,4.66
33,intervention,3.98
99,intervention,4.39
370,control,3.17
304,control,4.62
266,control,3.11
169,intervention,4.34
292,control,4.6
193,intervention,4.05
115,intervention,4.42
391,control,4.88
78,intervention,4.03
236,intervention,5.08
315,control,6.09
258,control,4.36
16,intervention,3.42
108,intervention,3.77
240,intervention,4.44
116,intervention,4.12
153,intervention,4.94
174,intervention,5.44
402,control,2.51
87,intervention,2.74
334,control,5.63
356,control,2.9
288,control,2.8
496,control,3.81
222,intervention,3.53
139,intervention,4.05
150,intervention,4.12
369,control,2.62
403,control,3.08
494,control,3.9
74,intervention,3.72
386,control,4.48
26,intervention,6.14
348,control,4.55
373,control,4.28
117,intervention,4.71
47,intervention,4.89
378,control,4.98
346,control,4.99
10,intervention,4.27
326,control,5.87
314,control,2.97
210,intervention,2.77
55,intervention,2.68
287,control,6.12
446,control,4.21
34,intervention,4.07
260,control,3.85
3,intervention,5.22
45,intervention,3.17
200,intervention,7.85
159,intervention,2.89
31,intervention,3.78
420,control,2.98
295,control,3.72
176,intervention,5.42
152,intervention,4.93
219,intervention,5.68
179,intervention,5.66
392,control,3.65
352,control,4.52
94,intervention,2.62
89,intervention,4.55
467,control,3.23
95,intervention,4.85
142,intervention,2.61
393,control,3.67
127,intervention,3.79
303,control,4.07
86,intervention,4.25
212,intervention,3.77
80,intervention,4.19
214,intervention,4.64