"","loyalty1","loyalty2","loyalty3"
"1",9,10,4
"2",10,11,5
"3",10,10,5
"4",9,10,5
"5",8,11,4
"6",10,12,5
"7",9,9,4
"8",12,11,5
"9",10,7,3
"10",10,10,5
"11",10,8,5
"12",11,11,6
"13",11,12,5
"14",7,9,3
"15",10,11,5
"16",11,11,5
"17",11,11,5
"18",11,10,5
"19",11,11,6
"20",9,9,4
"21",10,9,6
"22",11,10,5
"23",8,10,3
"24",9,10,4
"25",9,12,4
"26",10,10,4
"27",11,12,6
"28",10,11,6
"29",10,9,4
"30",12,14,8
"31",10,11,5
"32",8,8,3
"33",11,11,5
"34",9,9,4
"35",10,11,5
"36",11,13,5
"37",9,9,4
"38",9,11,6
"39",9,11,6
"40",10,13,5
"41",10,10,6
"42",9,10,4
"43",10,11,6
"44",10,10,6
"45",10,9,4
"46",10,9,5
"47",10,11,5
"48",11,12,6
"49",10,11,5
"50",11,11,6
"51",11,12,6
"52",8,10,5
"53",8,11,3
"54",10,10,4
"55",8,9,2
"56",11,10,4
"57",10,10,5
"58",10,11,5
"59",10,12,5
"60",11,11,6
"61",11,10,5
"62",8,10,6
"63",10,10,4
"64",9,8,4
"65",12,11,5
"66",11,12,7
"67",8,10,3
"68",8,7,4
"69",9,12,5
"70",10,12,6
"71",12,11,5
"72",11,12,4
"73",10,9,4
"74",11,10,5
"75",9,8,3
"76",11,13,7
"77",9,9,5
"78",11,12,6
"79",11,9,4
"80",10,8,4
"81",9,10,5
"82",10,11,4
"83",10,10,5
"84",8,11,5
"85",9,11,4
"86",7,10,4
"87",9,8,4
"88",10,9,4
"89",11,12,5
"90",9,10,3
"91",10,12,6
"92",10,9,4
"93",10,10,6
"94",10,11,5
"95",10,12,6
"96",9,11,5
"97",10,10,4
"98",10,9,5
"99",9,10,6
"100",9,11,4
"101",10,10,5
"102",9,11,6
"103",10,13,5
"104",11,11,5
"105",7,10,4
"106",9,11,6
"107",11,10,6
"108",10,10,5
"109",10,10,5
"110",10,12,5
"111",10,11,5
"112",9,11,4
"113",11,11,6
"114",10,9,5
"115",10,11,6
"116",10,12,5
"117",12,11,7
"118",10,10,5
"119",11,10,4
"120",10,10,5
"121",10,11,6
"122",10,10,6
"123",11,11,6
"124",11,11,5
"125",10,8,4
"126",9,10,4
"127",12,10,5
"128",10,11,4
"129",10,12,6
"130",11,12,7
"131",10,10,5
"132",11,9,4
"133",10,10,5
"134",10,13,7
"135",10,11,6
"136",11,11,7
"137",10,8,4
"138",9,9,5
"139",9,11,4
"140",11,11,5
"141",12,13,7
"142",10,11,5
"143",10,11,5
"144",11,11,5
"145",10,10,5
"146",10,9,5
"147",9,10,6
"148",9,10,5
"149",11,11,7
"150",10,11,7
"151",11,12,7
"152",11,13,7
"153",10,10,4
"154",12,12,7
"155",11,12,6
"156",9,10,6
"157",12,11,7
"158",9,12,5
"159",9,10,4
"160",10,11,5
"161",11,11,7
"162",11,11,5
"163",10,9,4
"164",10,7,4
"165",10,12,6
"166",10,10,5
"167",10,10,5
"168",11,11,6
"169",8,9,4
"170",9,9,4
"171",11,11,6
"172",12,13,6
"173",9,11,6
"174",10,8,5
"175",9,7,4
"176",10,9,5
"177",8,9,4
"178",11,11,6
"179",11,11,5
"180",10,9,4
"181",8,11,4
"182",9,9,4
"183",9,10,4
"184",11,9,5
"185",8,10,4
"186",10,10,6
"187",12,14,7
"188",11,11,5
"189",10,10,5
"190",12,13,7
"191",9,10,4
"192",11,13,6
"193",10,11,5
"194",10,9,4
"195",8,9,3
"196",9,12,6
"197",9,10,4
"198",10,10,5
"199",10,13,6
"200",12,12,6
"201",10,11,3
"202",11,10,6
"203",8,9,4
"204",9,8,4
"205",8,8,4
"206",10,11,6
"207",10,10,5
"208",11,12,7
"209",8,8,4
"210",9,11,6
"211",10,11,6
"212",9,7,4
"213",10,13,6
"214",8,8,4
"215",11,10,5
"216",11,12,6
"217",10,13,7
"218",10,11,5
"219",10,11,5
"220",11,12,6
"221",9,10,3
"222",9,10,5
"223",10,11,5
"224",10,10,6
"225",9,10,4
"226",11,10,6
"227",8,9,4
"228",8,11,4
"229",12,12,6
"230",11,10,6
"231",11,12,5
"232",7,10,3
"233",10,10,5
"234",12,10,7
"235",10,11,5
"236",11,11,5
"237",12,11,8
"238",10,12,5
"239",10,11,5
"240",9,9,3
"241",8,8,5
"242",10,9,6
"243",10,9,5
"244",11,12,6
"245",11,9,6
"246",10,9,4
"247",11,10,6
"248",9,9,4
"249",10,9,4
"250",11,12,6
"251",10,11,5
"252",10,11,6
"253",11,9,6
"254",8,9,4
"255",9,10,4
"256",10,11,4
"257",8,8,3
"258",10,11,4
"259",9,11,5
"260",10,11,6
"261",10,10,7
"262",10,9,4
"263",10,10,4
"264",8,9,4
"265",9,10,5
"266",12,12,7
"267",9,10,5
"268",11,11,6
"269",10,11,5
"270",9,11,4
"271",9,9,4
"272",9,10,4
"273",10,11,6
"274",9,11,5
"275",11,13,7
"276",10,12,6
"277",8,10,3
"278",9,7,3
"279",10,10,4
"280",10,10,6
"281",9,11,4
"282",11,11,6
"283",9,10,6
"284",11,10,4
"285",10,11,6
"286",10,12,6
"287",11,13,7
"288",12,13,6
"289",10,9,4
"290",10,11,5
"291",10,10,5
"292",10,12,4
"293",10,10,7
"294",11,12,6
"295",10,11,5
"296",11,11,5
"297",10,10,5
"298",10,13,6
"299",10,11,6
"300",9,8,4
"301",12,11,5
"302",12,12,5
"303",10,9,4
"304",8,10,5
"305",10,11,5
"306",10,11,6
"307",8,10,4
"308",12,11,7
"309",9,10,4
"310",11,12,4
"311",9,8,5
"312",10,11,6
"313",9,11,5
"314",12,11,6
"315",10,11,6
"316",11,11,5
"317",10,10,7
"318",9,10,4
"319",8,11,4
"320",11,9,5
"321",10,8,4
"322",9,10,5
"323",11,12,6
"324",9,12,5
"325",11,10,5
"326",11,8,5
"327",9,9,4
"328",10,12,6
"329",10,8,3
"330",11,10,5
"331",11,9,7
"332",11,11,6
"333",11,8,5
"334",11,11,5
"335",10,10,4
"336",10,10,5
"337",10,12,6
"338",11,11,6
"339",9,10,4
"340",11,12,7
"341",9,10,4
"342",8,10,5
"343",8,9,3
"344",10,11,5
"345",11,11,6
"346",10,12,6
"347",9,9,4
"348",10,10,6
"349",9,10,4
"350",10,12,5
"351",10,10,6
"352",9,8,4
"353",11,12,6
"354",9,9,3
"355",10,11,5
"356",10,10,4
"357",10,12,7
"358",9,11,6
"359",9,10,5
"360",11,13,6
"361",11,10,5
"362",8,8,3
"363",11,12,6
"364",10,10,6
"365",8,10,4
"366",8,9,4
"367",9,10,4
"368",10,10,6
"369",9,9,5
"370",9,8,4
"371",11,10,5
"372",10,11,6
"373",11,10,6
"374",10,11,5
"375",11,11,5
"376",9,9,5
"377",10,9,4
"378",9,10,5
"379",11,11,5
"380",12,10,6
"381",12,11,6
"382",9,11,5
"383",10,11,5
"384",9,9,5
"385",9,12,5
"386",12,13,7
"387",10,10,4
"388",8,10,4
"389",9,11,4
"390",10,10,5
"391",9,11,5
"392",12,11,5
"393",10,10,4
"394",11,12,7
"395",8,11,4
"396",11,11,6
"397",10,12,5
"398",11,11,6
"399",12,12,6
"400",9,11,4
"401",10,13,6
"402",9,10,5
"403",10,10,5
"404",9,8,4
"405",10,11,4
"406",10,10,5
"407",9,9,4
"408",8,12,6
"409",10,12,5
"410",10,10,4
"411",10,12,4
"412",10,9,5
"413",11,12,8
"414",12,9,5
"415",12,10,5
"416",11,11,6
"417",8,10,5
"418",10,10,5
"419",9,10,5
"420",10,9,4
"421",11,13,5
"422",11,10,6
"423",11,12,6
"424",9,10,6
"425",9,11,7
"426",11,11,6
"427",9,12,6
"428",10,9,5
"429",11,11,5
"430",11,10,6
"431",11,11,6
"432",11,10,5
"433",10,12,5
"434",9,10,3
"435",9,11,5
"436",10,11,5
"437",7,8,2
"438",11,11,7
"439",11,13,6
"440",10,8,4
"441",11,11,6
"442",9,11,4
"443",11,10,5
"444",9,8,3
"445",10,10,6
"446",10,9,6
"447",10,9,5
"448",10,10,5
"449",9,10,5
"450",10,9,4
"451",10,12,6
"452",11,12,6
"453",10,11,6
"454",11,12,6
"455",9,9,4
"456",10,10,5
"457",9,10,5
"458",11,10,4
"459",11,10,5
"460",11,10,6
"461",10,11,5
"462",10,9,5
"463",10,13,6
"464",10,11,6
"465",11,11,4
"466",12,11,7
"467",10,10,4
"468",11,12,5
"469",10,11,4
"470",11,13,7
"471",10,9,6
"472",9,9,4
"473",13,12,7
"474",11,13,6
"475",10,12,5
"476",9,10,5
"477",10,10,6
"478",13,14,7
"479",10,10,6
"480",10,12,5
"481",9,9,4
"482",10,11,6
"483",9,9,4
"484",10,13,6
"485",12,11,5
"486",10,10,3
"487",9,11,6
"488",10,12,5
"489",11,10,6
"490",10,9,6
"491",11,11,7
"492",12,11,6
"493",10,11,5
"494",9,9,3
"495",10,10,5
"496",12,16,8
"497",9,9,4
"498",10,10,4
"499",9,9,4
"500",11,9,5
"501",10,11,5
"502",9,9,4
"503",9,10,3
"504",11,12,6
"505",10,12,5
"506",10,10,5
"507",9,8,4
"508",8,8,4
"509",11,11,5
"510",11,7,5
"511",11,14,7
"512",11,12,5
"513",10,10,4
"514",10,10,6
"515",11,11,6
"516",8,10,4
"517",9,9,6
"518",9,10,5
"519",11,12,4
"520",10,10,4
"521",10,10,4
"522",11,9,5
"523",11,10,5
"524",11,11,6
"525",12,11,6
"526",9,12,5
"527",9,10,5
"528",10,10,4
"529",10,9,5
"530",10,10,4
"531",13,12,6
"532",10,10,6
"533",9,8,5
"534",11,11,5
"535",11,9,5
"536",9,9,5
"537",10,10,5
"538",11,10,4
"539",12,13,7
"540",10,10,5
"541",10,11,5
"542",11,9,4
"543",10,11,6
"544",10,12,6
"545",11,11,5
"546",10,11,6
"547",10,10,5
"548",10,9,4
"549",8,11,5
"550",10,9,4
"551",10,9,5
"552",10,9,5
"553",10,11,5
"554",11,13,7
"555",13,10,4
"556",8,10,5
"557",10,10,5
"558",9,10,5
"559",9,9,4
"560",10,10,5
"561",11,9,5
"562",11,12,6
"563",10,13,7
"564",9,9,4
"565",9,8,4
"566",10,11,6
"567",10,11,6
"568",9,10,5
"569",11,12,6
"570",9,11,5
"571",11,12,5
"572",10,7,6
"573",9,9,2
"574",9,11,6
"575",9,9,4
"576",9,10,5
"577",11,11,5
"578",10,12,5
"579",10,10,4
"580",12,11,6
"581",9,10,5
"582",9,11,5
"583",9,8,4
"584",10,11,5
"585",11,11,7
"586",12,11,5
"587",10,9,5
"588",10,10,5
"589",11,10,5
"590",10,10,6
"591",11,11,6
"592",11,15,6
"593",11,10,5
"594",11,11,5
"595",10,10,4
"596",10,11,6
"597",10,11,4
"598",9,9,4
"599",12,12,7
"600",10,10,5
"601",9,10,4
"602",10,11,5
"603",10,10,5
"604",11,14,7
"605",9,10,5
"606",9,11,5
"607",11,12,5
"608",11,11,6
"609",10,11,5
"610",9,10,5
"611",12,11,6
"612",10,12,5
"613",10,11,4
"614",9,10,4
"615",12,10,5
"616",10,12,5
"617",8,9,5
"618",10,10,6
"619",10,11,6
"620",8,9,5
"621",10,12,4
"622",10,12,6
"623",10,11,6
"624",11,12,7
"625",11,12,4
"626",8,9,4
"627",10,10,6
"628",11,11,5
"629",10,10,3
"630",10,12,5
"631",11,10,5
"632",8,7,3
"633",11,11,7
"634",10,10,4
"635",10,10,5
"636",10,11,5
"637",9,10,4
"638",8,11,5
"639",10,10,5
"640",8,10,5
"641",10,9,5
"642",10,11,5
"643",11,13,7
"644",9,12,6
"645",10,10,5
"646",9,10,4
"647",13,12,6
"648",11,11,6
"649",10,11,6
"650",11,12,5
"651",10,11,6
"652",11,12,6
"653",8,12,6
"654",9,11,5
"655",9,9,4
"656",11,12,5
"657",9,9,5
"658",9,10,5
"659",11,13,6
"660",9,10,4
"661",11,12,7
"662",10,10,4
"663",12,10,5
"664",9,10,4
"665",11,9,5
"666",12,11,6
"667",10,12,5
"668",10,10,5
"669",11,12,7
"670",10,10,4
"671",9,11,4
"672",10,13,6
"673",10,9,5
"674",9,12,4
"675",11,10,6
"676",11,11,5
"677",11,11,6
"678",11,13,6
"679",11,11,5
"680",9,10,5
"681",9,8,6
"682",10,13,7
"683",9,9,4
"684",10,9,5
"685",12,14,7
"686",10,11,7
"687",10,12,6
"688",11,10,5
"689",11,9,3
"690",10,10,5
"691",10,14,7
"692",9,10,4
"693",11,9,5
"694",11,11,7
"695",9,8,4
"696",10,11,5
"697",11,10,4
"698",10,8,4
"699",10,11,7
"700",11,8,5
"701",8,9,4
"702",10,10,4
"703",9,9,3
"704",9,10,5
"705",9,11,5
"706",10,9,4
"707",9,10,4
"708",11,11,6
"709",9,11,5
"710",9,11,7
"711",9,9,4
"712",9,9,4
"713",10,11,6
"714",8,9,3
"715",9,10,4
"716",12,12,7
"717",10,12,7
"718",8,10,5
"719",11,10,5
"720",10,9,6
"721",10,9,5
"722",9,11,5
"723",10,9,5
"724",8,9,5
"725",9,11,5
"726",8,9,6
"727",10,10,4
"728",9,11,5
"729",10,9,6
"730",11,13,5
"731",10,10,5
"732",9,10,3
"733",9,11,5
"734",10,10,4
"735",8,11,4
"736",13,10,6
"737",9,9,4
"738",9,10,4
"739",10,9,4
"740",10,9,5
"741",9,10,5
"742",10,11,5
"743",10,10,5
"744",10,9,6
"745",12,12,7
"746",12,9,5
"747",10,12,6
"748",9,9,5
"749",10,11,5
"750",11,12,5
"751",11,9,4
"752",11,12,4
"753",10,12,5
"754",12,11,6
"755",10,12,5
"756",11,13,8
"757",8,10,5
"758",9,11,5
"759",10,12,7
"760",9,11,5
"761",9,9,4
"762",10,12,6
"763",10,11,7
"764",9,10,5
"765",12,11,4
"766",9,11,5
"767",7,7,3
"768",10,12,6
"769",10,10,5
"770",9,10,4
"771",9,8,3
"772",11,9,5
"773",9,9,5
"774",10,13,7
"775",12,12,5
"776",9,11,4
"777",10,10,5
"778",11,9,5
"779",9,14,7
"780",9,8,3
"781",8,9,4
"782",9,11,5
"783",9,9,5
"784",10,12,7
"785",11,10,5
"786",10,9,4
"787",10,11,5
"788",10,9,6
"789",10,12,5
"790",10,12,6
"791",9,10,5
"792",8,9,5
"793",9,8,6
"794",9,9,3
"795",11,12,6
"796",10,10,4
"797",11,12,6
"798",9,10,5
"799",9,10,4
"800",10,10,5
"801",11,9,5
"802",10,10,6
"803",11,12,6
"804",12,11,6
"805",10,10,4
"806",9,9,5
"807",9,9,5
"808",11,14,8
"809",9,9,4
"810",8,9,2
"811",10,10,5
"812",13,11,6
"813",9,7,5
"814",9,8,4
"815",11,9,4
"816",11,11,6
"817",8,9,6
"818",10,11,5
"819",11,11,6
"820",11,10,4
"821",10,10,4
"822",9,8,4
"823",10,10,5
"824",11,9,5
"825",9,11,4
"826",10,9,5
"827",10,9,6
"828",10,10,5
"829",10,9,5
"830",10,13,4
"831",8,12,5
"832",9,12,5
"833",9,10,5
"834",9,12,8
"835",11,11,7
"836",9,8,4
"837",10,11,5
"838",11,9,5
"839",11,13,6
"840",10,9,3
"841",10,11,6
"842",10,10,5
"843",10,11,5
"844",12,12,8
"845",9,10,5
"846",11,10,5
"847",10,10,4
"848",10,10,4
"849",10,11,5
"850",9,12,6
"851",12,12,6
"852",9,13,6
"853",11,13,7
"854",11,12,6
"855",11,11,4
"856",11,12,6
"857",10,10,4
"858",8,10,4
"859",9,9,5
"860",10,10,5
"861",10,11,5
"862",8,10,5
"863",10,8,4
"864",10,10,5
"865",11,9,5
"866",11,9,6
"867",10,9,4
"868",10,11,5
"869",11,11,6
"870",10,11,5
"871",10,10,3
"872",9,13,7
"873",9,12,5
"874",10,10,7
"875",11,12,6
"876",10,10,4
"877",9,10,3
"878",10,10,6
"879",9,11,4
"880",9,10,5
"881",9,12,6
"882",10,11,6
"883",11,12,8
"884",9,9,4
"885",11,11,6
"886",10,10,5
"887",12,10,7
"888",10,8,6
"889",10,11,7
"890",10,9,3
"891",10,9,4
"892",10,10,4
"893",10,11,5
"894",10,12,6
"895",9,12,5
"896",11,9,5
"897",9,10,4
"898",10,10,5
"899",10,10,5
"900",9,10,5
"901",10,12,7
"902",9,9,5
"903",9,10,6
"904",9,9,3
"905",9,10,4
"906",11,10,4
"907",11,11,6
"908",11,13,7
"909",10,10,5
"910",10,11,6
"911",10,10,5
"912",11,12,6
"913",9,11,6
"914",11,11,6
"915",9,9,5
"916",9,10,4
"917",11,10,5
"918",9,8,3
"919",9,11,5
"920",9,10,5
"921",9,9,4
"922",11,12,6
"923",9,11,5
"924",11,11,5
"925",10,11,4
"926",8,10,5
"927",10,10,5
"928",12,13,8
"929",10,12,5
"930",9,10,5
"931",9,12,6
"932",10,12,6
"933",9,10,4
"934",9,10,5
"935",10,13,6
"936",11,10,5
"937",10,11,6
"938",10,10,5
"939",11,9,4
"940",11,11,5
"941",9,12,4
"942",11,10,6
"943",11,11,5
"944",11,11,5
"945",10,12,5
"946",9,7,2
"947",9,9,2
"948",10,11,4
"949",9,10,4
"950",9,11,4
"951",9,9,6
"952",8,8,4
"953",11,12,7
"954",11,9,5
"955",11,11,5
"956",11,10,5
"957",9,10,4
"958",10,10,5
"959",9,8,3
"960",10,12,6
"961",9,9,4
"962",10,9,4
"963",10,12,6
"964",9,10,6
"965",9,10,4
"966",10,11,5
"967",10,10,5
"968",10,10,5
"969",10,9,5
"970",11,11,5
"971",10,11,4
"972",10,10,5
"973",11,9,5
"974",10,10,5
"975",10,11,5
"976",10,10,4
"977",11,12,6
"978",8,9,4
"979",10,11,5
"980",9,9,5
"981",11,10,6
"982",8,9,4
"983",11,12,7
"984",8,10,5
"985",9,11,6
"986",11,13,7
"987",9,10,4
"988",10,9,4
"989",9,9,5
"990",10,12,5
"991",10,11,4
"992",9,10,4
"993",11,11,6
"994",9,12,4
"995",10,9,4
"996",9,12,5
"997",11,12,5
"998",10,13,5
"999",9,11,5
"1000",9,13,5
